emp_no,first_name,last_name,gender
10001,Georgi,Facello,M
10002,Bezalel,Simmel,F
10003,Parto,Bamford,M
10004,Chirstian,Koblick,M
10009,Sumant,Peac,F
10013,Eberhardt,Terkki,M
10014,Berni,Genin,M
10015,Guoxiang,Nooteboom,M
10018,Kazuhide,Peha,F
10021,Ramzi,Erde,M
10025,Prasadram,Heyers,M
10029,Otmar,Herbst,M
10033,Arif,Merlo,M
10034,Bader,Swan,M
10035,Alain,Chappelet,M
10039,Alejandro,Brender,M
10048,Florian,Syrotiuk,M
10052,Heping,Nitsch,M
10053,Sanjiv,Zschoche,F
10058,Berhard,McFarlin,M
10060,Breannda,Billingsley,M
10061,Tse,Herber,M
10064,Udi,Jansch,M
10065,Satosi,Awdeh,M
10066,Kwee,Schusler,M
10067,Claudi,Stavenow,M
10068,Charlene,Brattka,M
10070,Reuven,Garigliano,M
10071,Hisao,Lipner,M
10072,Hironoby,Sidou,F
10075,Gao,Dolinsky,F
10076,Erez,Ritzmann,F
10078,Danel,Mondadori,F
10079,Kshitij,Gils,F
10080,Premal,Baek,M
10081,Zhongwei,Rosen,M
10083,Vishv,Zockler,M
10087,Xinglin,Eugenio,F
10088,Jungsoon,Syrzycki,F
10089,Sudharsan,Flasterstein,F
10090,Kendra,Hofting,M
10094,Arumugam,Ossenbruggen,F
10095,Hilari,Morton,M
10098,Sreekrishna,Servieres,F
10099,Valter,Sullins,F
10100,Hironobu,Haraldson,F
10103,Akemi,Birch,M
10104,Xinyu,Warwick,M
10108,Lunjin,Giveon,M
10110,Xuejia,Ullian,F
10111,Hugo,Rosis,F
10112,Yuichiro,Swick,F
10115,Chikara,Rissland,M
10116,Dayanand,Czap,F
10119,Domenick,Peltason,M
10126,Kayoko,Valtorta,M
10128,Babette,Lamba,F
10129,Armond,Peir,M
10130,Nishit,Casperson,M
10133,Giri,Isaak,M
10134,Diederik,Siprelle,M
10135,Nathan,Monkewich,M
10136,Zissis,Pintelas,M
10137,Maren,Hutton,M
10138,Perry,Shimshoni,M
10143,Sakthirel,Bakhtari,M
10144,Marla,Brendel,M
10145,Akemi,Esposito,F
10146,Chenyi,Syang,M
10147,Kazuhito,Encarnacion,M
10149,Xiadong,Perry,F
10150,Zhenbing,Perng,F
10152,Jaques,Munro,F
10153,Heekeun,Majewski,M
10156,Sumali,Fargier,M
10157,Nigel,Aloisi,M
10158,Khedija,Mitsuhashi,M
